,City,ID,Lat,Lon,Temp
122,Nevinnomyssk,522377,44.626667,41.945278,-1.0
123,Maykop,528293,44.60778,40.105831,-1.59
124,Anapa,582182,44.890839,37.323898,0.0
125,Dzhangala,609965,49.216671,50.333328,-4.72
126,Oral,608668,51.233334,51.366669,-5.0
127,Sorochinsk,490554,52.4338,53.158298,-7.07
128,Svetlograd,485698,45.335281,42.854721,-1.0
129,Astrakhan,580497,46.349682,48.04076,0.0
130,Iki-Burul,557413,45.820831,44.647221,-1.0
131,Yashkul,468747,46.171101,45.343498,-1.29
132,Tikhoretsk,483029,45.854721,40.125278,-3.89
133,Primorsko-Akhtarsk,505259,46.049702,38.174702,-3.62
134,Yusta,466135,47.121101,46.301601,-4.79
135,Remontnoye,502185,46.561401,43.650101,-1.0
136,Zimovniki,462522,47.148335,42.463333,-10.17
137,Gigant,561499,56.44389,41.296112,-6.54
138,Yeysk,466885,46.698891,38.279167,-4.02
139,Taganrog,484907,47.236172,38.896881,-6.97
140,Malyye Derbety,530196,47.95472,44.680828,-11.54
141,Kotelnikovo,543728,47.631668,43.146111,-6.32
142,Konstantinovsk,545277,47.582779,41.09222,-8.02
143,Zaporizhzhya,687700,47.816669,35.183331,-1.56
144,Verkhniy Baskunchak,475196,48.225639,46.721699,-9.19
145,Volgograd,472757,48.719391,44.501839,-9.0
146,Dnipropetrovsk,709930,48.450001,34.98333,-1.43
147,Bokovskaya,575413,49.228989,41.830601,-8.87
148,Millerovo,526558,48.922649,40.396729,-6.14
149,Izyum,707292,49.208752,37.248482,-4.87
150,Novouzensk,517739,50.459171,48.143059,-7.07
151,Pallasovka,513042,50.049999,46.883331,-7.22
152,Frolovo,562389,49.771332,43.66222,-10.39
153,Boguchar,575457,49.935768,40.544998,-6.54
154,Valuyki,477192,50.203499,38.106701,-4.92
155,Kharkiv,706483,50.0,36.25,-3.0
156,Krasnyy Kut,541647,50.950001,46.966671,-9.52
157,Danilovka,567167,52.765556,46.15889,-9.04
158,Rudnya,500664,55.549999,39.133331,-3.0
159,Kalach,554410,50.4258,41.0261,-6.89
160,Uryupinsk,478544,50.804699,42.013802,-8.17
161,Anna,581671,51.4842,40.429901,-6.87
162,Liski,534838,50.984051,39.51545,-6.92
163,Belgorod,578072,50.610001,36.580002,-3.0
164,Yershov,467120,51.351299,48.2766,-9.07
165,Balashov,579460,51.550201,43.166698,-7.29
166,Pugachev,504250,52.013332,48.802502,-11.19
167,Karabulak,552951,43.303612,44.896389,-1.0
168,Rtishchevo,500886,52.26041,43.787449,-7.32
169,Zherdevka,463217,51.84861,41.46056,-6.84
170,Livny,534701,52.425339,37.606892,-4.62
171,Sevastopol,694423,44.599998,33.533333,4.28
172,Chornomorske,710687,45.503887,32.699722,4.71
173,Kherson,706448,46.655811,32.617802,-3.97
174,Tiraspol,617239,46.840279,29.64333,-6.0
175,Chisinau,618426,47.005562,28.8575,-6.0
176,Odessa,698740,46.477474,30.732622,-1.0
177,Balti,618605,47.761669,27.92889,-7.0
178,Kryvyy Rih,703845,47.916668,33.349998,-5.0
179,Lyubashivka,702898,47.837158,30.25976,-6.07
180,Mohyliv-Podilskyy,700918,48.44598,27.798201,-2.82
181,Chernivtsi,710719,48.291489,25.94034,-2.77
182,Uzhhorod,690548,48.616669,22.299999,0.28
183,Svitlovodsk,692087,49.048939,33.241058,-3.37
184,Uman,690688,48.748379,30.22184,-5.42
185,Vinnytsya,689558,49.23278,28.48097,-2.14
186,Ivano-Frankivsk,707471,48.921501,24.709721,-1.0
187,Poltava,696643,49.593731,34.54073,-4.04
188,Myronivka,701031,49.660069,30.98225,-2.17
189,Khmelnytskyy,706369,49.421612,26.996531,-3.09
190,Ternopil,691650,49.555889,25.60556,-1.14
191,Lviv,702550,49.838261,24.023239,0.0
192,Lubny,702723,50.016251,32.996941,-4.17
193,Boryspil,711660,50.349998,30.950001,-1.64
194,Zhytomyr,686967,50.26487,28.676689,-1.62
195,Shepetivka,694216,50.185452,27.06365,-0.29
196,Sumy,692194,50.9216,34.800289,-4.04
197,Konotop,705135,51.240318,33.202629,-3.44
198,Volodymyr-Volynskyy,689378,50.852531,24.323641,1.08
199,Chernihiv,710735,51.505508,31.28488,-0.64
200,Sarny,694792,51.337952,26.60191,0.98
201,Homyel,627907,52.434502,30.975401,-1.0
202,Mazyr,625324,52.0495,29.2456,1.03
203,Pinsk,623549,52.122898,26.0951,1.08
204,Brest,629634,52.099998,23.700001,1.03
205,Samara,499099,53.200001,50.150002,-12.0
206,Sterlitamak,487495,53.624619,55.95015,-7.87
207,Buguruslan,571159,53.655399,52.442001,-7.17
208,Ufa,479561,54.775002,56.037498,-7.0
209,Aksakovo,583688,56.066666,42.450001,-6.54
210,Bugulma,571170,54.549999,52.799999,-8.47
211,Chelno-Vershiny,569497,54.433331,51.099998,-10.14
212,Askino,580577,56.09013,56.578308,-8.09
213,Vyatskiye Polyany,470734,56.226021,51.065571,-11.09
214,Yekaterinburg,1486209,56.857498,60.612499,-4.0
215,Krasnoufimsk,542199,56.60585,57.766861,-8.04
216,Sarapul,498687,56.47633,53.797821,-8.87
217,Okhansk,516073,57.718552,55.387718,-9.0
218,Nizhniy Tagil,520494,57.919441,59.965,-5.79
219,Glazov,561347,58.139408,52.658421,-11.52
220,Verkhoturye,1487219,58.862709,60.805359,-3.62
221,Kudymkar,539817,59.017288,54.655998,-11.02
222,Gari,1506676,59.43074,62.34967,-2.89
223,Kirs,548333,59.338821,52.244671,-10.52
224,Syzran,484972,53.158501,48.468102,-11.72
225,Radishchevo,503254,52.849998,47.883331,-9.27
226,Tambov,484646,52.73167,41.433891,-6.32
227,Lipetsk,535121,52.603111,39.570759,-5.17
228,Yefremov,468390,53.14806,38.099239,-5.12
229,Orel,515012,52.965832,36.080276,-5.04
230,Inza,556283,53.853333,46.358612,-9.42
231,Ryazhsk,500047,53.7038,40.110901,-5.39
232,Uzlovaya,477494,53.981789,38.171181,-5.42
233,Dimitrovgrad,566199,54.21386,49.618378,-18.0
234,Surskoye,486043,54.482101,46.721401,-9.57
235,Krasnoslobodsk,542212,54.425301,43.789631,-7.79
236,Sasovo,461699,54.353691,41.919861,-6.09
237,Ryazan,500096,54.61972,39.740002,-5.79
238,Sukhinichi,486665,54.099892,35.342541,-4.29
239,Kaluga,553915,54.529301,36.275421,-3.0
240,Lukoyanov,533400,55.027721,44.478649,-8.87
241,Vyksa,470444,55.317501,42.174438,-6.04
242,Kashira,551964,54.84444,38.166939,-3.0
243,Moscow,524901,55.75222,37.615555,-3.0
244,Naro-Fominsk,523426,55.38752,36.73307,-3.0
245,Kazan,551487,55.788738,49.122139,-10.0
246,Sergach,496802,55.530788,45.46611,-9.82
247,Vladimir,2013364,53.471401,102.654701,-30.59
248,Gagarin,562237,55.55291,34.995369,-3.87
249,Kozmodemyansk,543018,56.336666,46.57111,-10.0
250,Nizhniy Novgorod,520555,56.328674,44.002048,-8.0
251,Tver,480060,56.861938,35.893059,-4.29
252,Nolinsk,520041,57.55962,49.936291,-10.92
253,Krasnyye Baki,541796,57.131001,45.15992,-7.37
254,Yuryevets,466258,57.320068,43.104099,-6.97
255,Ivanovo,555312,56.994167,40.985832,-6.04
256,Kostroma,543878,57.770832,40.934444,-4.0
257,Uglich,479532,57.5275,38.331669,-4.47
258,Kotelnich,543737,58.308899,48.348,-9.17
259,Buy,570508,58.478611,41.529999,-4.87
260,Rybinsk,500004,58.044601,38.84259,-4.64
261,Maksatikha,531979,57.796951,35.882542,-4.12
262,Kirov,548408,58.596649,49.660069,-9.69
263,Vokhma,472887,58.930302,46.758591,-7.09
264,Kologriv,546282,58.82748,44.317768,-6.57
265,Cherepovets,569223,59.133331,37.900002,-5.79
266,Oparino,515175,59.851791,48.278259,-6.54
267,Totma,481960,59.974724,42.764168,-6.07
268,Babayevo,580006,59.3936,35.937099,-4.54
269,Trubchevsk,481350,52.5798,33.7644,-2.37
270,Krasnaya Gora,542788,52.9995,31.602301,-1.0
271,Babruysk,630468,53.150002,29.233334,0.96
272,Slutsk,621741,53.027401,27.5597,1.06
273,Baranavichy,630429,53.132702,26.013901,1.11
274,Bryansk,2026070,52.02306,106.84333,-19.0
275,Roslavl,501283,53.952782,32.863892,-2.07
276,Mahilyow,625665,53.913891,30.33639,-0.12
277,Marina Horka,625409,53.508999,28.146999,0.0
278,Minsk,625144,53.900002,27.566668,0.0
279,Lida,626081,53.883331,25.299721,1.03
280,Smolensk,491687,54.781666,32.040001,-0.57
281,Orsha,624079,54.515278,30.405277,0.16
282,Vilnius,593116,54.689159,25.2798,1.0
283,Kaliningrad,554234,54.70649,20.51095,4.0
284,Dokshytsy,629002,54.892422,27.76894,0.48
285,Utena,593672,55.5,25.6,1.03
286,Belyy,577576,55.840199,32.941898,-2.67
287,Birzai,600438,56.200001,24.75,1.03
288,Silale,594693,55.490559,22.181391,1.33
289,Velikiye Luki,476077,56.34,30.54517,-0.34
290,Opochka,515155,56.71048,28.661739,0.31
291,Madona,457714,56.853291,26.21698,0.46
292,Riga,456172,56.950001,24.1,0.0
293,Liepaja,457954,56.51667,21.01667,2.43
294,Ostashkov,514259,57.146671,33.107529,-3.37
295,Kholm,549786,59.26667,32.849998,-2.62
296,Ventspils,454310,57.389439,21.56056,1.0
297,Bologoye,575349,57.879902,34.1068,-3.67
298,Staraya Russa,489088,57.994389,31.360809,-1.34
299,Pskov,504341,57.813599,28.3496,0.0
300,Valga,587876,57.777809,26.0473,-1.0
301,Kuressaare,590939,58.248058,22.503889,0.0
302,Gdov,561679,58.740559,27.81222,-0.94
303,Parnu,589580,58.38588,24.49711,0.21
304,Tikhvin,483019,59.645111,33.529369,-3.94
305,Lyuban,532637,59.349998,31.216669,-2.62
306,Kingisepp,548602,59.37331,28.61343,-2.34
307,Tartu,588335,58.380619,26.72509,-1.0
308,Khanty-Mansiysk,1503772,61.004169,69.001938,-5.0
309,Ivdel,1505260,60.691109,60.420559,-8.82
310,Cherdyn,569359,60.40295,56.47868,-10.57
311,Gayny,561698,60.307072,54.32412,-10.44
312,Syktyvkar,485239,61.676418,50.80994,-10.0
313,Ust-Kulom,478050,61.686359,53.690201,-8.72
314,Nizhnesortymskiy,7287775,62.439651,71.760292,-5.69
315,Sosva,1491267,59.17662,61.855789,-4.02
316,Ukhta,479411,63.567051,53.683479,-7.79
317,Izhma,554830,65.008331,53.911282,-8.12
318,Muzhi,1498161,65.366669,64.666672,-12.44
319,Pechora,511794,65.147163,57.224388,-9.19
320,Vorkuta,1486910,67.5,64.0,-17.22
321,Naryan-Mar,523392,67.671257,53.086971,-10.29
322,Konosha,545353,60.973598,40.257,-6.37
323,Nyuksenitsa,516539,60.412777,44.239723,-6.09
324,Vozhega,471245,60.472462,40.22134,-7.04
325,Belozersk,577711,60.032631,37.795719,-6.87
326,Vyborg,470546,60.70763,28.752831,-4.0
327,Krasnoborsk,542423,61.55978,45.93396,-4.94
328,Velsk,475938,61.070061,42.098301,-5.92
329,Nyandoma,516647,61.669029,40.19907,-6.92
330,Pudozh,504269,61.809879,36.534538,-7.04
331,Petrozavodsk,509820,61.784912,34.346909,-12.0
332,Shenkursk,494884,62.1091,42.89595,-5.82
333,Bereznik,577240,62.855141,42.707191,-6.07
334,Medvezhyegorsk,527888,62.916668,34.466667,-8.32
335,Koslan,544084,63.456421,48.898911,-5.84
336,Sura,486163,53.887859,45.74192,-9.07
337,Segezha,497927,63.74147,34.322182,-8.27
338,Porosozero,506232,62.71912,32.727032,-8.72
339,Pinega,509483,64.700142,43.39362,-4.32
340,Kholmogory,549748,64.2229,41.655998,-6.0
341,Rabocheostrovsk,798536,64.985474,34.766109,-9.19
342,Kalevala,554318,65.199997,31.166668,-11.14
343,Umba,479071,66.687057,34.342918,-8.59
344,Murmansk,524305,68.979172,33.09251,-7.0
345,Nikel,522260,69.412849,30.221979,-7.0
346,Larnaca,146400,34.916672,33.629169,9.03
347,Paphos,146214,34.76667,32.416672,9.58
348,Rizokarpaso,146105,35.599998,34.375,12.93
349,Lefka,146392,35.110561,32.850559,9.0
350,Kas,308948,36.201759,29.637659,13.56
351,Iskenderun,311111,36.587181,36.17347,8.0
352,Osmaniye,303195,37.074169,36.24778,2.58
353,Silifke,300808,36.377781,33.934441,2.88
354,Alanya,324190,36.543751,31.999821,9.0
355,Antalya,323776,36.77409,30.71777,6.0
356,Marmaris,304782,36.855,28.27417,10.52
357,Batman,321836,37.887379,41.13221,2.0
358,Gaziantep,314829,37.083328,37.333328,3.56
359,Denizli,317106,37.84016,29.06982,3.0
360,Nigde,303827,37.965832,34.679352,-13.44
361,Eregli,315498,37.513329,34.046719,-11.77
362,Konya,306569,38.166672,32.5,-1.0
363,Aksehir,324490,38.357498,31.416389,-2.17
364,Aydin,322830,37.845009,27.83963,8.0
365,Bitlis,321022,38.5,42.25,-4.27
366,Bingol,321082,38.88472,40.493889,-7.52
367,Elazig,315808,38.674309,39.223209,-1.0
368,Malatya,304919,38.5,38.0,-1.0
369,Kayseri,308463,38.73695,35.49683,-2.0
370,Cihanbeyli,318506,38.660721,32.92437,-2.39
371,Akhisar,324698,38.918522,27.840059,1.0
372,Ayvalik,322673,39.31905,26.6954,3.0
373,Van,298113,38.5,43.5,-3.0
374,Kirsehir,307515,39.145828,34.163891,-2.0
375,Kutahya,305268,39.424171,29.98333,1.0
376,Balikesir,322165,39.64917,27.88611,4.0
377,Yozgat,296560,39.583328,35.333328,-3.84
378,Kirikkale,307654,39.84528,33.50639,1.0
379,Yalova,738025,40.655022,29.27693,3.25
380,Bursa,750268,40.166672,29.08333,3.0
381,Bandirma,751077,40.352219,27.976669,0.73
382,Canakkale,749780,40.145561,26.406389,0.0
383,Agri,309647,39.71944,43.051392,-7.42
384,Kars,743942,40.416672,43.083328,-13.0
385,Erzurum,315367,40.0,41.5,-5.0
386,Erzincan,315372,39.75,39.5,-10.0
387,Sivas,300617,39.791649,37.001949,-6.0
388,Amasya,752014,40.666672,35.833328,1.0
389,Korgun,742657,40.734798,33.51844,-1.22
390,Karabük,862468,41.25,32.5,0.08
391,Duzce,747764,40.83889,31.163891,0.63
392,Belek,321580,36.862782,31.055559,6.0
393,Tekirdag,738927,40.978008,27.50852,-2.0
394,Kirklareli,743166,41.735081,27.22521,-5.64
395,Trabzon,738647,40.916672,39.833328,8.0
396,Giresun,746878,40.5,38.5,7.0
397,Carsamba,749704,41.198891,36.721939,5.0
398,Sinop,739598,41.771061,34.870949,4.06
