,City,ID,Lat,Lon,Temp
0,Friedrichshafen,2924585,47.650002,9.48333,3.01
1,Freiburg,2925177,47.995899,7.85222,4.01
2,Stuttgart,2825297,48.782318,9.177019999999999,4.0
3,Wuerzburg,2805615,49.787781,9.936110000000001,3.49
4,Pforzheim,2853969,48.883331,8.7,4.0
5,Crailsheim,2939797,49.134440999999995,10.07193,3.45
6,Ulm,2820256,48.398410999999996,9.99155,2.73
7,Memmingen,2871992,47.983719,10.18527,2.0
8,Augsburg,2954172,48.366669,10.88333,3.0
9,Rotthalmunster,2843682,48.35825,13.201620000000002,5.0
10,Muenchen,2867714,48.137428,11.57549,3.0
11,Regensburg,2849483,49.014998999999996,12.09556,4.0
12,Bayreuth,2951825,49.948059,11.578330000000001,5.0
13,Nuremberg,2861650,49.447781,11.06833,4.03
14,Zwickau,2803560,50.73333,12.5,3.24
15,Cottbus,2939811,51.76667,14.333329999999998,2.97
16,Chemnitz,2940132,50.833328,12.91667,3.58
17,Leipzig,2879139,51.339619,12.37129,5.47
18,Erfurt,2929670,50.98333,11.03333,5.0
19,Magdeburg,2874545,52.166672,11.66667,5.47
20,Frankfurt am Main,2925533,50.116669,8.68333,6.0
21,Marburg an der Lahn,2873759,50.816669,8.76667,6.0
22,Kaiserslautern,2894003,49.450001,7.75,4.33
23,Koblenz,2886946,50.349998,7.6,4.95
24,Kassel,2892518,51.316669,9.5,6.0
25,Bonn,2946447,50.73333,7.1,6.11
26,Dusseldorf,2934246,51.221722,6.776160000000001,7.58
27,Meppen,2871845,52.690639000000004,7.29097,7.67
28,Berlin,2950159,52.524368,13.41053,4.51
29,Dortmund,2935517,51.51667,7.45,7.55
30,Muenster,2867543,51.96236,7.625710000000001,7.0
31,Bielefeld,2949186,52.033328999999995,8.53333,6.7
32,Hannover,2910831,52.370521999999994,9.73322,6.21
33,Bremen,2944387,53.083328,8.83333,7.0
34,Hamburg,2911298,53.549999,10.0,5.5
35,Kiel,2891122,54.32133100000001,10.134889999999999,4.0
36,Rostock,2844588,54.088699,12.14049,2.0
37,Aachen,3247449,50.776641999999995,6.083419999999999,7.21
38,Fulda,2923822,50.55162,9.675180000000001,6.0
39,Tor,359678,28.23638,33.625401000000004,7.03
40,Suez,359796,29.973709000000003,32.526272,4.29
41,Cairo,360630,30.06263,31.249670000000002,14.0
42,Khan Yunis,281124,31.340179,34.306271,10.17
43,Port Said,358619,31.25654,32.284119,14.0
44,Alexandria,361058,31.215639000000003,29.955271000000003,11.0
45,Marsa Matruh,352733,31.352539,27.245278999999996,13.0
46,Remada,2467783,32.31662,10.39551,8.0
47,Tataouine,2464701,32.929668,10.45177,8.0
