,City,ID,Lat,Lon,Temp
0,Friedrichshafen,2924585,47.650002,9.48333,-1.57
1,Freiburg,2925177,47.995899,7.85222,0.32
2,Stuttgart,2825297,48.782318,9.17702,-1.0
3,Wuerzburg,2805615,49.787781,9.93611,-0.28
4,Pforzheim,2853969,48.883331,8.7,0.83
5,Crailsheim,2939797,49.134441,10.07193,-0.26
6,Ulm,2820256,48.398411,9.99155,-1.17
7,Memmingen,2871992,47.983719,10.18527,-1.35
8,Augsburg,2954172,48.366669,10.88333,-0.14
9,Rotthalmunster,2843682,48.35825,13.20162,-1.0
10,Muenchen,2867714,48.137428,11.57549,0.5
11,Regensburg,2849483,49.014999,12.09556,1.23
12,Bayreuth,2951825,49.948059,11.57833,0.59
13,Nuremberg,2861650,49.447781,11.06833,0.28
14,Zwickau,2803560,50.73333,12.5,-1.41
15,Cottbus,2939811,51.76667,14.33333,-2.25
16,Chemnitz,2940132,50.833328,12.91667,-0.65
17,Leipzig,2879139,51.339619,12.37129,2.0
18,Erfurt,2929670,50.98333,11.03333,1.0
19,Magdeburg,2874545,52.166672,11.66667,-0.5
20,Frankfurt am Main,2925533,50.116669,8.68333,0.51
21,Marburg an der Lahn,2873759,50.816669,8.76667,0.0
22,Kaiserslautern,2894003,49.450001,7.75,-0.41
23,Koblenz,2886946,50.349998,7.6,-1.02
24,Kassel,2892518,51.316669,9.5,-0.49
25,Bonn,2946447,50.73333,7.1,-0.28
26,Dusseldorf,2934246,51.221722,6.77616,0.34
27,Meppen,2871845,52.690639,7.29097,-1.0
28,Berlin,2950159,52.524368,13.41053,0.0
29,Dortmund,2935517,51.51667,7.45,-0.45
30,Muenster,2867543,51.96236,7.62571,-1.0
31,Bielefeld,2949186,52.033329,8.53333,-0.36
32,Hannover,2910831,52.370522,9.73322,1.0
33,Bremen,2944387,53.083328,8.83333,1.0
34,Hamburg,2911298,53.549999,10.0,1.0
35,Kiel,2891122,54.321331,10.13489,1.0
36,Rostock,2844588,54.088699,12.14049,0.0
37,Aachen,3247449,50.776642,6.08342,-0.34
38,Fulda,2923822,50.55162,9.67518,0.0
39,Tor,359678,28.23638,33.625401,11.04
40,Suez,359796,29.973709,32.526272,4.05
41,Cairo,360630,30.06263,31.24967,16.0
42,Khan Yunis,281124,31.340179,34.306271,10.03
43,Port Said,358619,31.25654,32.284119,14.0
44,Alexandria,361058,31.215639,29.955271,10.0
45,Marsa Matruh,352733,31.352539,27.245279,11.0
46,Remada,2467783,32.31662,10.39551,13.0
47,Tataouine,2464701,32.929668,10.45177,13.0
48,Mellita,2469329,33.863178,10.80154,12.64
49,Kebili,2468018,33.704391,8.96903,10.03
50,Sfax,2467454,34.740559,10.76028,15.0
51,Sidi Bouzid,2465840,35.038231,9.48494,8.18
52,Mahdia,2473572,35.504719,11.06222,12.0
53,Thala,2464795,35.572441,8.67031,5.0
54,El Kef,2473634,36.17424,8.70486,7.0
55,Enfida,2473358,36.135281,10.38083,10.77
56,Beja,2472774,36.725639,9.18169,7.49
57,Adrar,2508813,27.87429,-0.29388,17.0
58,Timimoun,2476403,29.26388,0.23098,15.0
59,El Golea,2498305,30.566669,2.88333,12.0
60,Hassi Messaoud,2494029,31.68041,6.07286,16.0
61,Bechar,2505530,31.616671,-2.21667,14.0
62,Ghardaïa,2496049,32.49094,3.67347,13.0
63,Ain Sefra,2507943,32.75,-0.58333,7.53
64,El Oued,2497411,33.356079,6.86319,13.0
65,El Bayadh,2498543,33.683182,1.01927,5.53
66,Mecheria,2489865,33.544529,-0.28117,7.68
67,Laghouat,2491191,33.799999,2.86514,8.05
68,Djelfa,2500017,34.672791,3.263,5.5
69,Biskra,2503826,34.85038,5.72805,15.0
70,Maghnia,2490584,34.849689,-1.72753,13.45
71,Sidi Bel Abbes,2481007,35.189941,-0.63085,13.43
72,Bou Saâda,2502385,35.208549,4.17402,5.55
73,Ksar Chellala,2491335,35.212219,2.31889,6.62
74,Relizane,2483668,35.737339,0.55599,12.18
75,Oran,2485926,35.691109,-0.64167,13.42
76,Khenchela,2491889,35.435829,7.14333,-1.85
77,Setif,2481700,36.19112,5.41373,8.08
78,Algiers,2507480,36.752499,3.04197,10.0
79,Constantine,2501152,36.365002,6.61472,4.0
80,Bouira,2502958,36.374889,3.902,9.12
81,Ténès,2477148,36.510761,1.30809,11.0
82,Bejaia,2505329,36.755871,5.08433,6.87
83,Annaba,2506999,36.900002,7.76667,8.0
84,Ceuta,2519582,35.890282,-5.3075,14.0
85,Errachidia,2549340,31.75,-4.5,13.0
86,Midelt,2542227,32.6852,-4.74512,1.75
87,Beni-Mellal,2555742,32.5,-6.33333,4.93
88,Nouaceur,6547299,33.458389,-7.64726,12.18
89,Casablanca,2553604,33.592781,-7.61916,12.63
90,Meknes,2542715,33.89352,-5.54727,11.0
91,Rabat,2538474,33.991112,-6.84006,11.0
92,Taza,2529313,34.25,-3.75,11.23
93,Al Hoceima,2558545,35.243328,-3.93092,15.0
94,Chefchaouene,2553455,35.168781,-5.2636,14.0
