,City,ID,Lat,Lon,Temp
0,Friedrichshafen,2924585,47.650002,9.48333,1.72
1,Freiburg,2925177,47.995899,7.85222,3.99
2,Stuttgart,2825297,48.782318,9.17702,2.0
3,Wuerzburg,2805615,49.787781,9.93611,0.63
4,Pforzheim,2853969,48.883331,8.7,2.5
5,Crailsheim,2939797,49.134441,10.07193,0.65
6,Ulm,2820256,48.398411,9.99155,0.4
7,Memmingen,2871992,47.983719,10.18527,-0.23
8,Augsburg,2954172,48.366669,10.88333,0.67
9,Rotthalmunster,2843682,48.35825,13.20162,-1.0
10,Muenchen,2867714,48.137428,11.57549,0.79
11,Regensburg,2849483,49.014999,12.09556,1.0
12,Bayreuth,2951825,49.948059,11.57833,1.0
13,Nuremberg,2861650,49.447781,11.06833,1.0
14,Zwickau,2803560,50.73333,12.5,-0.5
15,Cottbus,2939811,51.76667,14.33333,0.84
16,Chemnitz,2940132,50.833328,12.91667,0.5
17,Leipzig,2879139,51.339619,12.37129,1.53
18,Erfurt,2929670,50.98333,11.03333,0.0
19,Magdeburg,2874545,52.166672,11.66667,-1.44
20,Frankfurt am Main,2925533,50.116669,8.68333,4.0
21,Marburg an der Lahn,2873759,50.816669,8.76667,0.0
22,Kaiserslautern,2894003,49.450001,7.75,1.37
23,Koblenz,2886946,50.349998,7.6,1.01
24,Kassel,2892518,51.316669,9.5,0.0
25,Bonn,2946447,50.73333,7.1,0.72
26,Dusseldorf,2934246,51.221722,6.77616,1.0
27,Meppen,2871845,52.690639,7.29097,0.66
28,Berlin,2950159,52.524368,13.41053,0.98
29,Dortmund,2935517,51.51667,7.45,0.45
30,Muenster,2867543,51.96236,7.62571,0.53
31,Bielefeld,2949186,52.033329,8.53333,-0.36
32,Hannover,2910831,52.370522,9.73322,-0.8
33,Bremen,2944387,53.083328,8.83333,0.0
34,Hamburg,2911298,53.549999,10.0,-1.0
35,Kiel,2891122,54.321331,10.13489,0.0
36,Rostock,2844588,54.088699,12.14049,-1.0
37,Aachen,3247449,50.776642,6.08342,0.99
38,Fulda,2923822,50.55162,9.67518,0.0
39,Tor,359678,28.23638,33.625401,11.09
40,Suez,359796,29.973709,32.526272,4.66
41,Cairo,360630,30.06263,31.24967,15.0
42,Khan Yunis,281124,31.340179,34.306271,7.41
43,Port Said,358619,31.25654,32.284119,16.0
44,Alexandria,361058,31.215639,29.955271,12.88
45,Marsa Matruh,352733,31.352539,27.245279,13.0
46,Remada,2467783,32.31662,10.39551,20.0
47,Tataouine,2464701,32.929668,10.45177,20.0
48,Mellita,2469329,33.863178,10.80154,15.0
49,Kebili,2468018,33.704391,8.96903,16.06
50,Sfax,2467454,34.740559,10.76028,10.0
51,Sidi Bouzid,2465840,35.038231,9.48494,9.41
52,Mahdia,2473572,35.504719,11.06222,15.0
53,Thala,2464795,35.572441,8.67031,14.0
54,El Kef,2473634,36.17424,8.70486,16.0
55,Enfida,2473358,36.135281,10.38083,15.77
56,Beja,2472774,36.725639,9.18169,16.49
57,Adrar,2508813,27.87429,-0.29388,19.0
