,City,ID,Lat,Lon,Temp
122,Nevinnomyssk,522377,44.626667,41.945278,1.0
123,Maykop,528293,44.60778,40.105831,-3.11
124,Anapa,582182,44.890839,37.323898,2.0
125,Dzhangala,609965,49.216671,50.333328,-12.36
126,Oral,608668,51.233334,51.366669,-21.0
127,Sorochinsk,490554,52.4338,53.158298,-21.19
128,Lagan,2697944,56.916672,13.98333,-1.0
129,Svetlograd,485698,45.335281,42.854721,1.0
130,Astrakhan,1526059,51.528332,69.797218,-30.89
131,Iki-Burul,557413,45.820831,44.647221,-4.0
132,Yashkul,468747,46.171101,45.343498,-3.04
133,Tikhoretsk,483029,45.854721,40.125278,0.31
134,Primorsko-Akhtarsk,505259,46.049702,38.174702,-0.69
135,Yusta,466135,47.121101,46.301601,-5.76
136,Remontnoye,502185,46.561401,43.650101,-4.0
137,Zimovniki,462522,47.148335,42.463333,-1.86
138,Gigant,561499,56.44389,41.296112,-10.04
139,Yeysk,466885,46.698891,38.279167,-0.44
140,Taganrog,484907,47.236172,38.896881,-1.04
141,Malyye Derbety,530196,47.95472,44.680828,-7.01
142,Kotelnikovo,543728,47.631668,43.146111,-2.86
143,Konstantinovsk,545277,47.582779,41.09222,-0.01
144,Zaporizhzhya,687700,47.816669,35.183331,-1.56
145,Urda,2510083,39.4118,-3.71493,1.99
146,Verkhniy Baskunchak,475196,48.225639,46.721699,-9.74
147,Volgograd,472757,48.719391,44.501839,-10.0
148,Dnipropetrovsk,709930,48.450001,34.98333,-1.43
149,Bokovskaya,575413,49.228989,41.830601,-7.04
150,Millerovo,526558,48.922649,40.396729,-5.41
151,Izyum,707292,49.208752,37.248482,-3.24
152,Novouzensk,517739,50.459171,48.143059,-14.16
153,Pallasovka,513042,50.049999,46.883331,-13.09
154,Frolovo,562389,49.771332,43.66222,-10.91
155,Boguchar,575457,49.935768,40.544998,-6.66
156,Valuyki,477192,50.203499,38.106701,-5.39
157,Kharkiv,706483,50.0,36.25,-3.0
158,Krasnyy Kut,541647,50.950001,46.966671,-14.76
159,Danilovka,567167,52.765556,46.15889,-14.41
160,Rudnya,500664,55.549999,39.133331,-9.0
161,Kalach,554410,50.4258,41.0261,-7.79
162,Uryupinsk,478544,50.804699,42.013802,-9.61
163,Anna,2521722,39.02029,-0.64621,8.94
164,Liski,534838,50.984051,39.51545,-7.49
165,Belgorod,578072,50.610001,36.580002,-4.0
166,Yershov,467120,51.351299,48.2766,-15.76
167,Balashov,579460,51.550201,43.166698,-11.26
168,Pugachev,504250,52.013332,48.802502,-16.26
169,Karabulak,552951,43.303612,44.896389,2.0
170,Rtishchevo,500886,52.26041,43.787449,-11.94
171,Zherdevka,463217,51.84861,41.46056,-9.79
172,Livny,534701,52.425339,37.606892,-5.89
173,Sevastopol,694423,44.599998,33.533333,5.64
174,Chornomorske,710687,45.503887,32.699722,6.16
175,Kherson,706448,46.655811,32.617802,-2.99
176,Tiraspol,617239,46.840279,29.64333,-3.0
